idx,rsmi,psmi,ea,dh
3257,[C:1]([N:2]1[C:3]([H:10])([H:11])[C:4]([O:5][H:13])([H:12])[C:6]1([H:14])[H:15])([H:7])([H:8])[H:9],[C:1](=[N:2][C:6]([H:8])([H:14])[H:15])([H:7])[H:9].[C:3](=[C:4]([O:5][H:13])[H:12])([H:10])[H:11],90.4715645883391,-7.55716761607694
3258,[C:1]([N:2]1[C:3]([H:10])([H:11])[C:4]([O:5][H:13])([H:12])[C:6]1([H:14])[H:15])([H:7])([H:8])[H:9],[C:1]([N+:2]1=[C:6]([H:14])[C:4]([O:5][H:13])([H:12])[C-:3]1[H:11])([H:7])([H:8])[H:9].[H:10][H:15],69.9768747864674,56.1060687860136
3259,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C-:3]([H:11])[N+:5]1([C:4]([H:12])([H:13])[H:14])[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],97.4133342594283,54.736423959255100
3260,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1](=[C:2]([H:9])[H:10])([H:7])[H:8].[C:3](\[C:4]([H:12])([H:13])[H:14])(=[N:5]/[C:6]([H:15])([H:16])[H:17])[H:11],77.2516497215187,3.2858778967593000
3261,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:5]/[C:3]([C:4]([H:12])([H:13])[H:14])([C:6]([H:15])([H:16])[H:17])[H:11])[H:10])([H:7])([H:8])[H:9],87.2555697151263,-19.352888561986900
3262,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C-:3]([C:4]([H:12])([H:13])[H:14])[N+:5]1([C:6]([H:15])([H:16])[H:17])[H:11])([H:7])([H:8])[H:9],71.26861598945120,51.5721196830507
3263,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([C:4]([H:12])([H:13])[H:14])=[N+:5]1[C-:6]([H:16])[H:17])([H:7])([H:8])[H:9].[H:11][H:15],67.6339404566292,54.5886126044901
3264,[C:1]([C@@:2]1([H:10])[C@:3]([C:4]([H:12])([H:13])[H:14])([H:11])[N:5]1[C:6]([H:15])([H:16])[H:17])([H:7])([H:8])[H:9],[C:1]([C-:2]([N+:5](=[C:3]([C:4]([H:12])([H:13])[H:14])[H:11])[C:6]([H:15])([H:16])[H:17])[H:10])([H:7])([H:8])[H:9],38.3981988918396,16.021367178022400
3265,[O:1]([c:2]1[n:3][o:4][n:5][n:6]1)[H:7],[N:5]#[N:6].[O:1]([C:2]#[N+:3][O-:4])[H:7],9.929703742328950,-2.82536530909957
3266,[O:1]([c:2]1[n:3][o:4][n:5][n:6]1)[H:7],[O:1]=[c:2]1[n-:3][o:4][n:5][n+:6]1[H:7],49.4615651740372,11.4295129005851
3267,[O:1]([c:2]1[n:3][o:4][n:5][n:6]1)[H:7],[O:1]=[c:2]1[n:3]([H:7])[o:4][n:5][n:6]1,50.76519168145920,2.73990239155105
3268,[O:1]([c:2]1[n:3][o:4][n:5][n:6]1)[H:7],[O:1]([C:2]#[N:3])[H:7].[O:4]=[N+:5]=[N-:6],29.7142393254601,-9.81527325113263
3269,[O:1]([c:2]1[n:3][o:4][n:5][n:6]1)[H:7],[O:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])[H:7],84.9422165094562,52.347281982305500
3270,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:3]\[H:10])[O:6]/[C:5](=[N:4]/[H:11])[H:12])([H:7])([H:8])[H:9],50.9613773463545,22.2215342496906
3271,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]1[N:3]([H:10])[O:6][C:5]([H:7])([H:12])[N:4]1[H:11])([H:8])[H:9],102.510946871348,65.6265275077879
3272,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([C+:2]([N:3]([H:10])[H:12])[N-:4][H:11])([H:7])([H:8])[H:9],36.73466616134,13.2667589728723
3273,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2]([N:3]([H:10])[H:11])=[N:4]/[C:5](=[O:6])[H:12])([H:7])([H:8])[H:9],29.5344182703331,-2.52058151390291
3274,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[N:3]\[H:10])/[N:4]=[C:5](/[O:6][H:11])[H:12])([H:7])([H:8])[H:9],42.5740647047301,18.837931891274300
3275,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([C@:2]12[N:3]([H:10])[O:6][C@@:5]1([H:12])[N:4]2[H:11])([H:7])([H:8])[H:9],118.81299322836900,92.43873730376270
3276,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([N:3]([H:7])[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:8])[H:9],58.6070804035579,10.9121155542377
3277,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([N+:3](=[C-:2][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],86.6322439620388,31.352051687391900
3278,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([C-:2]=[N+:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],107.30188866966,65.9099133158232
3279,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[N:4](=[C:5](\[O:6][H:10])[H:12])\[H:11],41.3836818119598,17.741368832294100
3280,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:3]\[H:10])[N+:4](=[C-:5][O:6][H:12])[H:11])([H:7])([H:8])[H:9],72.33251121693400,42.0624066147531
3281,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([C:5](=[O:6])[H:12])([H:7])([H:8])[H:9].[C:2](=[N:3][H:10])=[N:4][H:11],82.3295403399202,19.8279246205692
3282,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:3]\[H:10])[H:12])([H:7])([H:8])[H:9].[N:4](=[C:5]=[O:6])[H:11],71.4388509296094,3.7790246121246900
3283,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:10].[C:2](#[N:3])[N:4]([C:5](=[O:6])[H:12])[H:11],98.6301852083528,12.5975249247125
3284,[C:1]([n:2]1[n:3][n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:2]=[N:3][N:4]=[N+:5]=[N-:6])([H:7])([H:8])[H:9],28.2084243316227,27.321956966519000
3285,[C:1]([n:2]1[n:3][n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[N+:2]1[N:3]([H:9])[N:4][N:5]=[N:6]1)([H:7])[H:8],79.00367966087770,45.457609898014500
3286,[C:1]([n:2]1[n:3][n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:2]=[N+:6]=[N-:5])([H:7])([H:8])[H:9].[N:3]#[N:4],13.787054186407100,-27.822104754949600
3287,[C:1]([n:2]1[n:3][n:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:2]=[N:6])([H:7])([H:8])[H:9].[N-:3]=[N+:4]=[N:5],28.2290586491185,25.943517319903300
3288,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([N:2]=[C:3]=[C:5]=[N:6][N:4]([H:10])[H:11])([H:7])([H:8])[H:9],87.95163954084470,51.4922320841277
3289,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([N:2]=[C:3]([N:4]([H:10])[H:11])[N+:6]#[C-:5])([H:7])([H:8])[H:9],45.530823355379100,14.146257828928
3290,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([N:2]=[C:3]=[N:4][H:10])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:11],49.7422493255996,10.7326083344736
3291,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9],37.0795958536451,-1.3409795280032600
3292,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[N-:2][C:3]([N:4]([H:10])[H:11])=[C:5]=[N+:6]1[H:9],60.303088155722500,26.2170800674498
3293,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1](=[N:2][C@@:3]([N:4]([H:10])[H:11])([C:5]#[N:6])[H:9])([H:7])[H:8],95.0171881718281,15.2058576103472
3294,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1](=[N:2]/[C:3](=[N:4]/[H:11])[C:5]#[N:6])([H:7])[H:8].[H:9][H:10],47.0430329636281,26.898140116836
3295,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:11].[N:2](=[C:3]=[N:4][H:10])[C:5]#[N:6],88.52106362528930,4.38076128666396
3296,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C+:1]([N:2]([C:3]([N:4]([H:10])[H:11])=[C:5]=[N-:6])[H:9])([H:7])[H:8],63.4445649588381,25.328100082644700
3297,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1]([N:4]([H:10])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][C:5]#[N:6],77.64008167586390,15.2836741736106
3298,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1](=[N:2][C-:3]([N+:4]([H:9])([H:10])[H:11])[C:5]#[N:6])([H:7])[H:8],52.353529917958400,44.046400361458200
3299,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],[C:1](/[N:2]=[c:3]1\[c:5]([N:4]([H:10])[H:11])[n:6]1)([H:7])([H:8])[H:9],72.48989585722690,30.2487006678677
3300,[C:1]([C:2]([C:3]([C:4]([C:5]([H:15])([H:16])[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[C:2]([H:9])[H:10])([H:6])[H:8].[C:3](=[C:4]([C:5]([H:15])([H:16])[H:17])[H:14])([H:11])[H:12].[H:7][H:13],77.3707467188751,46.528552573118
3301,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[C:4]=[O:5])([H:10])[H:11])([H:7])([H:8])[H:9].[C:6]([H:12])([H:13])([H:14])[H:15],71.7051389470312,3.36187136652131
3302,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:4]([N:3]([C:6]([H:13])([H:14])[H:15])[H:12])=[O:5])([H:10])[H:11])([H:7])([H:8])[H:9],98.88709174759750,1.62882731193477
3303,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O+:5]=[C:4]([N:3]([C-:2]([H:10])[H:11])[H:12])[C:6]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9],84.9437913860171,67.31266743288420
3304,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](/[N:3]=[C:4](/[O:5][H:12])[C:6]([H:13])([H:14])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9],39.07908021712430,15.8555906631899
3305,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:3]/[C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9].[H:11][H:12],95.5992013167833,25.2951764081317
3306,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[N:3]\[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[O:5])([C:6]([H:13])([H:14])[H:15])[H:11],77.01392266701790,28.8252193028548
3307,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9].[C:2](=[N:3][H:12])([H:10])[H:11],93.39555491391660,27.734585979038900
3308,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]([C-:4]=[O+:5][C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],100.498986704491,55.4950491427218
3309,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([H:10])([H:11])[H:12])([H:7])([H:8])[H:9].[N:3](=[C:4]=[O:5])[C:6]([H:13])([H:14])[H:15],74.0647880152938,7.49883730320454
3310,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([H:10])[H:11])([H:7])[H:8].[N:3](=[C:4](/[O:5][H:9])[C:6]([H:13])([H:14])[H:15])\[H:12],51.9318648262109,30.8082430459522
3311,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[N:3]1[H:12].[C:4](=[O:5])=[C:6]([H:13])[H:14].[H:9][H:15],99.99793996837770,71.7336089607743
3312,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]([C:4]([O:5][H:15])=[C:6]([H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],61.7638426894727,31.178886128638000
3313,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:2](=[N+:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])[H:10].[C:1]([H:7])([H:8])([H:9])[H:11],72.8127436176716,58.9872114584198
3314,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:5]/[C:4](=[N:3]/[H:12])[C:6]([H:13])([H:14])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9],61.2159163504844,17.238887441933
3315,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]([C@@:4]1([H:15])[O:5][C:6]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],100.92024581897200,50.2756334683477
3316,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2](/[N:3]=[C:4](\[O:5][H:11])[C:6]([H:13])([H:14])[H:15])[H:10])([H:7])[H:8].[H:9][H:12],92.72809211508000,37.4494481162515
3317,[C:1]([C:2]([N:3]([C:4](=[O:5])[C:6]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](/[N:3]=[C:4]1\[O:5][C:6]1([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9].[H:12][H:15],92.15420071322450,64.0479303371783
3318,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](#[C:2][C:3]([C:4]([N+:6]#[C-:5])([H:10])[H:11])([H:8])[H:9])[H:7],59.6967233432635,21.0978777614283
3319,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](=[C:2]=[C:3]([H:8])[H:9])([C:4]([C:5]#[N:6])([H:10])[H:11])[H:7],64.0739928765266,-5.3122916802577600
3320,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](=[C:2]1[C:3]([H:8])([H:9])[C@@:4]1([C:5]#[N:6])[H:10])([H:7])[H:11],69.2698900715299,-0.063436212414285
3321,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](=[C:2])([C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],58.5041499746821,45.9294250837906
3322,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C@@:1]1([C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])[C:2][C:3]1([H:8])[H:9],93.7940152194587,62.8714902758408
3323,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](/[C:2](=[C:3](\[C:4]([C:5]#[N:6])([H:10])[H:11])[H:8])[H:9])[H:7],67.8497528519077,53.6759075377251
3324,[C:1](#[C:2][C:3]([C:4]([C:5]#[N:6])([H:10])[H:11])([H:8])[H:9])[H:7],[C:1](=[C:2]=[C:3]([H:8])[H:9])([N:6]=[C:5]=[C:4]([H:10])[H:11])[H:7],38.266460925910000,16.7966891887767
3325,[O:1]=[c:2]1[o:3][n:4][n:5][o:6]1,[N-:4]=[N+:5]=[O:6].[O:1]=[C:2]=[O:3],6.49575525111587,-51.833941382868000
3326,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:8])[H:9].[C:4]([C:5]([H:7])([H:15])[H:16])(=[O:6])[H:14],59.81860913060230,-6.77052232022888
3327,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([O+:6]=[C-:5][H:15])([H:14])[H:16])[H:10])([H:7])([H:8])[H:9],74.9371471686979,43.122413371087600
3328,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([C:5]([O:6][H:10])([H:15])[H:16])[H:14])([H:7])([H:8])[H:9],54.74292144411490,-6.85964660312993
3329,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([H:10])[H:16])([H:7])([H:8])[H:9].[C:4](=[C+:5][H:15])([O-:6])[H:14],115.303801612432,63.8031878518816
3330,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C-:2]([C:3]([H:11])([H:12])[H:13])[C@@:4]1([H:14])[C:5]([H:16])=[O+:6]1)([H:7])([H:8])[H:9].[H:10][H:15],115.601700944728,74.4046169470208
3331,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]([C:5][H:15])([O:6][H:16])[H:14])[H:10])([H:7])([H:8])[H:9],68.16510424719620,66.471434255524
3332,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:4](/[C:5]([O:6][C:3]([H:11])([H:12])[H:13])([H:15])[H:16])[H:14])[H:10])([H:7])([H:8])[H:9],80.6581622812969,-0.84146791197782
3333,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C-:4]=[O+:6][C:5]([H:14])([H:15])[H:16])[H:10])([H:7])([H:8])[H:9],72.5022465789733,36.9622828404744
3334,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C@@:4]([O:6][C:3]([H:11])([H:12])[H:13])([H:14])[C:5]1([H:15])[H:16])([H:7])([H:8])[H:9],99.17866038406020,6.606184793504880
3335,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:12])([H:13])[C@:5]2([H:16])[C@@:4]1([H:14])[O:6]2)([H:7])([H:8])[H:9].[H:11][H:15],113.053956379704,34.1634519970181
3336,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([H:10])[H:14])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:15])[H:16],71.7443291415833,-2.90885552657629
3337,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4][C:5]([O:6][H:14])([H:15])[H:16])[H:10])([H:7])([H:8])[H:9],66.4537596244849,64.4854716769927
3338,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1](/[C:4](=[C:2](/[C:3]([H:11])([H:12])[H:13])[H:10])[H:14])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:15])[H:16],71.58651935297620,-1.7666917886098400
3339,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2][C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)([H:7])([H:8])[H:9].[C:3]([H:10])([H:11])([H:12])[H:13],82.38561787852440,77.24128309748200
3340,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([O:6][C:5]([C:4][H:14])([H:15])[H:16])[H:10])([H:7])([H:8])[H:9],99.383379042244,73.3238972005539
3341,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[O+:6][C-:5]([H:15])[H:16])[H:14])[H:10])([H:7])([H:8])[H:9],56.63559527436400,36.196590866179700
3342,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:5]([C@:4]1([H:14])[C@:2]([C:3]([H:11])([H:12])[H:13])([H:10])[O:6]1)([H:15])[H:16])([H:7])([H:8])[H:9],89.64255376451590,-3.4641408262489000
3343,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)[H:10])([H:7])([H:8])[H:9],[C:1]([C:2][C:3]([H:11])([H:12])[H:13])([H:7])([H:8])[H:9].[C:4]1([H:10])([H:14])[C:5]([H:15])([H:16])[O:6]1,87.8425732043396,84.8966950570225
3344,[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]1([H:9])[C@@:4]1([H:10])[N:5]([H:11])[C@@:6]21[H:12],[N:1]1([H:7])[C@@:2]([C@@:6]2([H:12])[C:4][N:5]2[H:11])([H:8])[C:3]1([H:9])[H:10],42.2829192290611,11.3860248411834
3345,[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]1([H:9])[C@@:4]1([H:10])[N:5]([H:11])[C@@:6]21[H:12],[N:1]1([H:7])[C@:3]2([H:9])[C:2]([H:8])=[C:6]([H:12])[N:5]([H:11])[C@:4]12[H:10],41.9406078387905,-49.04747185141030
